store_id,store_name,city,state,store_type,store_size_sqft
1,Reliance Smart,Pune,Maharashtra,supermarket,2375
2,FC Road Retail Hub,Pune,Maharashtra,high_street,4996
3,Orion Mall Store,Bangalore,Karnataka,mall,3690
4,Forum Mall Outlet,Bangalore,Karnataka,mall,2446
5,Phoenix Marketcity Store,Mumbai,Maharashtra,mall,2542
6,Big Bazaar Whitefield,Bangalore,Karnataka,supermarket,4593
7,Garuda Mall Retail,Bangalore,Karnataka,mall,3201
8,Reliance Fresh Karol Bagh,Delhi,Delhi,supermarket,1819
9,DMart Rohini,Delhi,Delhi,supermarket,3412
10,Select Citywalk Store,Delhi,Delhi,mall,4591
